"Stanice","Teplotavzduchu","Teplotarosneho_bodu","Relativnivlhkost","Prumernateplota","Maximalniteplota","Minimalniteplota","Minimalniprizemni_teplota","date_stamp"
"Pec pod Sněžkou","9,6 °C","4,3 °C","69%","11,7 °C","17,3 °C","7,8 °C","7,7 °C","21/10/2021 12:00:00"
"Liberec","13,5 °C","4,6 °C","55%","14,6 °C","19,1 °C","10,8 °C","10,2 °C","21/10/2021 12:00:00"
"Svratouch","14,2 °C","3,8 °C","49%","11,4 °C","18,1 °C","7,8 °C","7,0 °C","21/10/2021 12:00:00"
"Praha-Karlov","16,3 °C","3,8 °C","43%"," "," "," "," ","21/10/2021 12:00:00"
"Dukovany","16,6 °C","4,3 °C","44%","13,1 °C","17,5 °C","7,6 °C","6,5 °C","21/10/2021 12:00:00"
"Polom","11,7 °C","7,6 °C","76%","11,9 °C","16,4 °C","7,8 °C","8,4 °C","21/10/2021 12:00:00"
"Plzeň-Mikulka","15,3 °C","4,9 °C","50%","14,7 °C","22,0 °C","7,2 °C","10,0 °C","21/10/2021 12:00:00"
"Kuchařovice","18,3 °C","2,6 °C","35%","12,6 °C","17,7 °C","7,2 °C","5,8 °C","21/10/2021 12:00:00"
"Ústí nad Labem","13,1 °C","5,8 °C","61%","14,8 °C","19,7 °C","9,4 °C","11,1 °C","21/10/2021 12:00:00"
"Temelín","14,9 °C","3,7 °C","47%","15,8 °C","23,6 °C","10,0 °C","8,1 °C","21/10/2021 12:00:00"
"Kopisty"," "," "," ","13,9 °C","21,4 °C","5,6 °C","8,4 °C","21/10/2021 12:00:00"
"Maruška","10,6 °C","8,9 °C","89%","11,1 °C","14,4 °C","8,2 °C","8,3 °C","21/10/2021 12:00:00"
"Praha-Ruzyně","15,1 °C","5,0 °C","51%","16,6 °C","22,4 °C","10,4 °C","10,3 °C","21/10/2021 12:00:00"
"Praha-Libuš","16,2 °C","3,3 °C","42%","17,3 °C","23,4 °C","10,5 °C","11,2 °C","21/10/2021 12:00:00"
"Přibyslav","15,2 °C","3,0 °C","44%","11,8 °C","18,3 °C","7,9 °C","7,3 °C","21/10/2021 12:00:00"
"Churáňov","8,2 °C","2,9 °C","69%","11,8 °C","19,1 °C","8,9 °C","6,8 °C","21/10/2021 12:00:00"
"Brno-Tuřany","12,1 °C","9,5 °C","84%","13,0 °C","18,7 °C","8,5 °C","3,8 °C","21/10/2021 12:00:00"
"Kocelovice","14,5 °C","4,5 °C","51%","14,7 °C","22,8 °C","6,9 °C","6,2 °C","21/10/2021 12:00:00"
"Prostějov","12,9 °C","9,7 °C","81%","13,5 °C","19,1 °C","6,1 °C","1,5 °C","21/10/2021 12:00:00"
"Čáslav","17,8 °C","3,9 °C","40%","15,9 °C","23,1 °C","10,9 °C","6,0 °C","21/10/2021 12:00:00"
"Přimda","9,0 °C","4,6 °C","74%","12,5 °C","16,3 °C","8,7 °C","9,0 °C","21/10/2021 12:00:00"
"Luká","12,0 °C","7,5 °C","74%","12,0 °C","17,1 °C","7,7 °C","7,2 °C","21/10/2021 12:00:00"
"Holešov","12,9 °C","9,6 °C","81%","13,1 °C","18,9 °C","9,7 °C","7,3 °C","21/10/2021 12:00:00"
"České Budějovice","16,9 °C","3,6 °C","41%","15,6 °C","25,3 °C","9,7 °C","7,5 °C","21/10/2021 12:00:00"
"Červená u Libavé","9,4 °C","7,7 °C","89%","10,8 °C","15,0 °C","7,5 °C","7,3 °C","21/10/2021 12:00:00"
"Milešovka","8,9 °C","6,2 °C","83%","12,8 °C","17,4 °C","9,2 °C","9,2 °C","21/10/2021 12:00:00"
"Cheb","9,8 °C","6,5 °C","80%","13,5 °C","18,4 °C","8,5 °C","10,8 °C","21/10/2021 12:00:00"
"Šerák","5,0 °C","4,4 °C","96%","7,0 °C","11,4 °C","4,5 °C","5,0 °C","21/10/2021 12:00:00"
"Košetice","16,4 °C","4,1 °C","44%","14,6 °C","22,6 °C","10,1 °C","5,7 °C","21/10/2021 12:00:00"
"Pardubice","17,7 °C","5,6 °C","45%","16,2 °C","23,6 °C","10,7 °C","8,2 °C","21/10/2021 12:00:00"
"Ústí nad Orlicí","14,4 °C","9,3 °C","71%","13,7 °C","18,8 °C","9,4 °C","8,2 °C","21/10/2021 12:00:00"
"Tušimice","13,2 °C","6,1 °C","62%","14,9 °C","21,7 °C","7,7 °C","10,4 °C","21/10/2021 12:00:00"
"Doksany","15,8 °C","5,8 °C","51%","13,6 °C","22,4 °C","5,5 °C","7,5 °C","21/10/2021 12:00:00"
"Karlovy Vary","10,0 °C","4,8 °C","70%","12,7 °C","18,7 °C","4,1 °C","10,2 °C","21/10/2021 12:00:00"
"Lysá hora","6,1 °C","5,9 °C","99%","7,4 °C","11,2 °C","3,9 °C","4,2 °C","21/10/2021 12:00:00"
"Praha-Kbely","16,1 °C","3,9 °C","44%","16,7 °C","22,8 °C","11,3 °C","7,5 °C","21/10/2021 12:00:00"
"Náměšť nad Oslavou","16,2 °C","2,7 °C","40%","11,6 °C","16,7 °C","6,5 °C","4,9 °C","21/10/2021 12:00:00"
"Ostrava-Mošnov","15,2 °C","9,1 °C","67%","15,2 °C","19,1 °C","10,6 °C","7,7 °C","21/10/2021 12:00:00"
"Jičín","17,2 °C","5,5 °C","46%","13,8 °C","21,5 °C","7,9 °C","7,9 °C","21/10/2021 12:00:00"
"Kostelní Myslová","14,9 °C","3,1 °C","46%","12,5 °C","19,8 °C","6,4 °C","3,1 °C","21/10/2021 12:00:00"
"Praha-Kbely","11,2 °C","1,4 °C","51%","16,7 °C","22,8 °C","11,3 °C","7,5 °C","21/10/2021 19:00:00"
"Luká","9,7 °C","1,2 °C","55%","12,0 °C","17,1 °C","7,7 °C","7,2 °C","21/10/2021 19:00:00"
"Tušimice","11,1 °C","2,4 °C","55%","14,9 °C","21,7 °C","7,7 °C","10,4 °C","21/10/2021 19:00:00"
"Cheb","9,1 °C","2,7 °C","64%","13,5 °C","18,4 °C","8,5 °C","10,8 °C","21/10/2021 19:00:00"
"Liberec","9,5 °C","2,0 °C","59%","14,6 °C","19,1 °C","10,8 °C","10,2 °C","21/10/2021 19:00:00"
"Kopisty","11,5 °C","3,3 °C","57%","13,9 °C","21,4 °C","5,6 °C","8,4 °C","21/10/2021 19:00:00"
"Dukovany","9,6 °C","-0,3 °C","50%","13,1 °C","17,5 °C","7,6 °C","6,5 °C","21/10/2021 19:00:00"
"Maruška","10,6 °C","0,8 °C","51%","11,1 °C","14,4 °C","8,2 °C","8,3 °C","21/10/2021 19:00:00"
"Kuchařovice","11,7 °C","2,4 °C","53%","12,6 °C","17,7 °C","7,2 °C","5,8 °C","21/10/2021 19:00:00"
"Brno-Tuřany","11,1 °C","1,1 °C","50%","13,0 °C","18,7 °C","8,5 °C","3,8 °C","21/10/2021 19:00:00"
"Přibyslav","9,4 °C","1,3 °C","57%","11,8 °C","18,3 °C","7,9 °C","7,3 °C","21/10/2021 19:00:00"
"Churáňov","4,9 °C","0,3 °C","72%","11,8 °C","19,1 °C","8,9 °C","6,8 °C","21/10/2021 19:00:00"
"Pardubice","10,6 °C","2,1 °C","56%","16,2 °C","23,6 °C","10,7 °C","8,2 °C","21/10/2021 19:00:00"
"Praha-Karlov","11,7 °C","1,4 °C","49%"," "," "," "," ","21/10/2021 19:00:00"
"Milešovka","6,4 °C","2,5 °C","76%","12,8 °C","17,4 °C","9,2 °C","9,2 °C","21/10/2021 19:00:00"
"Doksany","11,9 °C","2,0 °C","51%","13,6 °C","22,4 °C","5,5 °C","7,5 °C","21/10/2021 19:00:00"
"Kostelní Myslová","8,5 °C","0,0 °C","55%","12,5 °C","19,8 °C","6,4 °C","3,1 °C","21/10/2021 19:00:00"
"Šerák","1,9 °C","-1,0 °C","81%","7,0 °C","11,4 °C","4,5 °C","5,0 °C","21/10/2021 19:00:00"
"Jičín","11,7 °C","2,4 °C","53%","13,8 °C","21,5 °C","7,9 °C","7,9 °C","21/10/2021 19:00:00"
"Náměšť nad Oslavou","10,4 °C","1,4 °C","54%","11,6 °C","16,7 °C","6,5 °C","4,9 °C","21/10/2021 19:00:00"
"Pec pod Sněžkou","5,9 °C","2,2 °C","77%","11,7 °C","17,3 °C","7,8 °C","7,7 °C","21/10/2021 19:00:00"
"Ústí nad Orlicí","10,8 °C","1,6 °C","53%","13,7 °C","18,8 °C","9,4 °C","8,2 °C","21/10/2021 19:00:00"
"České Budějovice","10,6 °C","1,2 °C","52%","15,6 °C","25,3 °C","9,7 °C","7,5 °C","21/10/2021 19:00:00"
"Přimda","6,5 °C","2,4 °C","75%","12,5 °C","16,3 °C","8,7 °C","9,0 °C","21/10/2021 19:00:00"
"Praha-Libuš","10,8 °C","1,2 °C","52%","17,3 °C","23,4 °C","10,5 °C","11,2 °C","21/10/2021 19:00:00"
"Červená u Libavé","7,6 °C","1,0 °C","63%","10,8 °C","15,0 °C","7,5 °C","7,3 °C","21/10/2021 19:00:00"
"Plzeň-Mikulka","9,9 °C","2,0 °C","58%","14,7 °C","22,0 °C","7,2 °C","10,0 °C","21/10/2021 19:00:00"
"Ostrava-Mošnov","10,6 °C","3,9 °C","63%","15,2 °C","19,1 °C","10,6 °C","7,7 °C","21/10/2021 19:00:00"
"Ústí nad Labem","10,1 °C","2,5 °C","59%","14,8 °C","19,7 °C","9,4 °C","11,1 °C","21/10/2021 19:00:00"
"Košetice","9,0 °C","0,5 °C","55%","14,6 °C","22,6 °C","10,1 °C","5,7 °C","21/10/2021 19:00:00"
"Polom","6,5 °C","0,8 °C","67%","11,9 °C","16,4 °C","7,8 °C","8,4 °C","21/10/2021 19:00:00"
"Praha-Ruzyně","10,4 °C","1,8 °C","55%","16,6 °C","22,4 °C","10,4 °C","10,3 °C","21/10/2021 19:00:00"
"Prostějov","11,0 °C","1,8 °C","53%","13,5 °C","19,1 °C","6,1 °C","1,5 °C","21/10/2021 19:00:00"
"Čáslav","9,5 °C","2,0 °C","60%","15,9 °C","23,1 °C","10,9 °C","6,0 °C","21/10/2021 19:00:00"
"Karlovy Vary","8,5 °C","1,2 °C","60%","12,7 °C","18,7 °C","4,1 °C","10,2 °C","21/10/2021 19:00:00"
"Temelín","9,8 °C","0,4 °C","52%","15,8 °C","23,6 °C","10,0 °C","8,1 °C","21/10/2021 19:00:00"
"Holešov","11,6 °C","2,1 °C","52%","13,1 °C","18,9 °C","9,7 °C","7,3 °C","21/10/2021 19:00:00"
"Lysá hora","4,3 °C","0,2 °C","74%","7,4 °C","11,2 °C","3,9 °C","4,2 °C","21/10/2021 19:00:00"
"Svratouch","6,3 °C","1,2 °C","70%","11,4 °C","18,1 °C","7,8 °C","7,0 °C","21/10/2021 19:00:00"
"Kocelovice","8,9 °C","1,6 °C","60%","14,7 °C","22,8 °C","6,9 °C","6,2 °C","21/10/2021 19:00:00"
"Jičín","10,5 °C","-1,2 °C","44%","11,2 °C","16,7 °C","3,9 °C","0,9 °C","22/10/2021 19:00:00"
"Náměšť nad Oslavou","6,4 °C","-1,4 °C","57%","9,0 °C","17,0 °C","5,0 °C","0,9 °C","22/10/2021 19:00:00"
"Luká","6,6 °C","-2,5 °C","52%","10,6 °C","15,7 °C","3,7 °C","0,3 °C","22/10/2021 19:00:00"
"Temelín","6,7 °C","-2,5 °C","52%","10,2 °C","16,3 °C","4,5 °C","2,0 °C","22/10/2021 19:00:00"
"Maruška","6,5 °C","-3,9 °C","47%","9,5 °C","12,1 °C","5,0 °C","4,6 °C","22/10/2021 19:00:00"
"Kuchařovice","8,1 °C","-1,2 °C","52%","11,1 °C","18,6 °C","5,4 °C","1,9 °C","22/10/2021 19:00:00"
"Přibyslav","6,6 °C","-2,8 °C","51%","9,8 °C","15,9 °C","4,4 °C","2,5 °C","22/10/2021 19:00:00"
"Churáňov","0,8 °C","-3,9 °C","71%","7,0 °C","9,7 °C","-0,2 °C","-0,9 °C","22/10/2021 19:00:00"
"Ústí nad Orlicí","7,7 °C","-1,7 °C","52%","10,8 °C","16,5 °C","4,2 °C","0,6 °C","22/10/2021 19:00:00"
"Kostelní Myslová","5,7 °C","-2,1 °C","57%","9,5 °C","16,5 °C","4,6 °C","1,8 °C","22/10/2021 19:00:00"
"Pardubice","9,1 °C","-2,7 °C","43%","12,7 °C","18,8 °C","3,1 °C","-1,1 °C","22/10/2021 19:00:00"
"České Budějovice","6,5 °C","-2,1 °C","54%","10,8 °C","17,5 °C","6,5 °C","1,8 °C","22/10/2021 19:00:00"
"Liberec","8,1 °C","-0,3 °C","55%","9,9 °C","14,6 °C","2,7 °C","-1,4 °C","22/10/2021 19:00:00"
"Prostějov","7,6 °C","-3,0 °C","47%","10,3 °C","17,6 °C","6,0 °C","2,3 °C","22/10/2021 19:00:00"
"Přimda","3,6 °C","0,5 °C","80%","7,9 °C","10,8 °C","1,5 °C","-0,2 °C","22/10/2021 19:00:00"
"Holešov","5,0 °C","-0,8 °C","66%","10,1 °C","15,4 °C","5,3 °C","1,6 °C","22/10/2021 19:00:00"
"Čáslav","8,7 °C","-3,3 °C","43%","12,2 °C","18,9 °C","4,1 °C","-2,7 °C","22/10/2021 19:00:00"
"Praha-Ruzyně","7,8 °C","-1,4 °C","52%","11,9 °C","15,8 °C","4,0 °C","2,4 °C","22/10/2021 19:00:00"
"Košetice","5,9 °C","-3,7 °C","50%","11,1 °C","16,8 °C","4,2 °C","1,4 °C","22/10/2021 19:00:00"
"Brno-Tuřany","5,9 °C","-1,0 °C","61%","11,3 °C","17,7 °C","4,8 °C","0,3 °C","22/10/2021 19:00:00"
"Karlovy Vary","6,1 °C","-0,4 °C","63%","7,8 °C","12,6 °C","2,0 °C","-0,3 °C","22/10/2021 19:00:00"
"Plzeň-Mikulka","7,7 °C","-0,8 °C","55%","11,7 °C","16,5 °C","3,6 °C","-0,1 °C","22/10/2021 19:00:00"
"Doksany","10,4 °C","-0,5 °C","47%","12,7 °C","17,0 °C","4,5 °C","-1,3 °C","22/10/2021 19:00:00"
"Praha-Karlov","8,8 °C","-2,5 °C","45%"," "," "," "," ","22/10/2021 19:00:00"
"Šerák","-0,8 °C","-5,4 °C","71%","3,1 °C","5,9 °C","-3,5 °C","-3,9 °C","22/10/2021 19:00:00"
"Lysá hora","0,5 °C","-5,1 °C","66%","3,9 °C","7,1 °C","3,9 °C","0,2 °C","22/10/2021 19:00:00"
"Tušimice","8,9 °C","0,4 °C","55%","11,0 °C","15,6 °C","3,1 °C","-1,2 °C","22/10/2021 19:00:00"
"Milešovka","4,3 °C","0,3 °C","75%","6,4 °C","10,3 °C","0,5 °C","-0,9 °C","22/10/2021 19:00:00"
"Ústí nad Labem","8,7 °C","-0,5 °C","53%","10,1 °C","14,9 °C","4,1 °C","2,3 °C","22/10/2021 19:00:00"
"Kocelovice","6,8 °C","-2,9 °C","50%","11,1 °C","15,3 °C","3,0 °C","0,6 °C","22/10/2021 19:00:00"
"Dukovany","6,3 °C","-1,8 °C","56%","9,6 °C","17,9 °C","6,1 °C","1,6 °C","22/10/2021 19:00:00"
"Praha-Libuš","8,4 °C","-2,8 °C","45%","12,3 °C","17,9 °C","4,8 °C","1,1 °C","22/10/2021 19:00:00"
"Kopisty","9,6 °C","0,5 °C","53%"," ","16,0 °C","12,9 °C"," ","22/10/2021 19:00:00"
"Polom","4,7 °C","-3,1 °C","57%","8,2 °C","11,8 °C","0,4 °C","-2,2 °C","22/10/2021 19:00:00"
"Praha-Kbely","8,8 °C","-2,2 °C","46%","12,6 °C","17,6 °C","4,6 °C","0,4 °C","22/10/2021 19:00:00"
"Svratouch","4,2 °C","-2,8 °C","60%","8,5 °C","14,6 °C","2,9 °C","1,8 °C","22/10/2021 19:00:00"
"Ostrava-Mošnov","8,6 °C","-2,7 °C","45%","12,8 °C","16,3 °C","7,1 °C","4,1 °C","22/10/2021 19:00:00"
"Cheb","6,5 °C","1,4 °C","70%","9,0 °C","13,2 °C","2,0 °C","-0,1 °C","22/10/2021 19:00:00"
"Červená u Libavé","4,5 °C","-3,0 °C","58%","8,0 °C","11,7 °C","2,2 °C","0,6 °C","22/10/2021 19:00:00"
"Pec pod Sněžkou","4,2 °C","-2,0 °C","64%","6,9 °C","10,8 °C","1,2 °C","0,2 °C","22/10/2021 19:00:00"
"Červená u Libavé","4,3 °C","1,3 °C","81%","4,7 °C","9,1 °C","0,7 °C","-0,6 °C","23/10/2021 11:00:00"
"Praha-Karlov","9,8 °C","-0,7 °C","48%"," "," "," "," ","23/10/2021 11:00:00"
"Prostějov","10,0 °C","-0,8 °C","47%","9,2 °C","13,8 °C","2,3 °C","-3,3 °C","23/10/2021 11:00:00"
"Holešov","9,6 °C","-0,6 °C","49%","7,6 °C","13,3 °C","1,1 °C","-1,5 °C","23/10/2021 11:00:00"
"Kostelní Myslová","9,0 °C","-0,5 °C","52%","6,2 °C","11,3 °C","3,8 °C","0,5 °C","23/10/2021 11:00:00"
"Pardubice","10,3 °C","0,8 °C","52%","8,5 °C","12,3 °C","3,1 °C","-0,8 °C","23/10/2021 11:00:00"
"Dukovany","8,4 °C","-1,4 °C","50%","7,8 °C","13,9 °C","3,8 °C","1,8 °C","23/10/2021 11:00:00"
"Temelín","8,3 °C","0,5 °C","58%","6,5 °C","11,2 °C","4,4 °C","1,7 °C","23/10/2021 11:00:00"
"Brno-Tuřany","10,1 °C","-0,1 °C","49%","7,6 °C","13,6 °C","3,3 °C","-2,3 °C","23/10/2021 11:00:00"
"Košetice","9,7 °C","-0,2 °C","50%","6,4 °C","10,1 °C","2,6 °C","-0,4 °C","23/10/2021 11:00:00"
"Kopisty"," "," "," ","8,8 °C","13,9 °C","4,4 °C","1,1 °C","23/10/2021 11:00:00"
"České Budějovice","9,2 °C","1,5 °C","59%","8,1 °C","12,6 °C","5,7 °C","1,9 °C","23/10/2021 11:00:00"
"Náměšť nad Oslavou","9,6 °C","-0,5 °C","49%","7,5 °C","11,7 °C","3,5 °C","1,8 °C","23/10/2021 11:00:00"
"Plzeň-Mikulka","11,1 °C","-1,6 °C","41%","7,2 °C","11,4 °C","2,8 °C","-1,1 °C","23/10/2021 11:00:00"
"Cheb","7,5 °C","-0,7 °C","56%","6,2 °C","9,1 °C","2,5 °C","-1,0 °C","23/10/2021 11:00:00"
"Doksany","9,4 °C","2,7 °C","63%","9,1 °C","12,5 °C","4,5 °C","-1,4 °C","23/10/2021 11:00:00"
"Ostrava-Mošnov","10,4 °C","-0,1 °C","48%","9,1 °C","13,0 °C","3,1 °C","0,5 °C","23/10/2021 11:00:00"
"Přimda","6,8 °C","-0,8 °C","59%","4,1 °C","7,0 °C","0,8 °C","-1,4 °C","23/10/2021 11:00:00"
"Luká","7,6 °C","-0,4 °C","57%","7,4 °C","11,4 °C","3,5 °C","2,2 °C","23/10/2021 11:00:00"
"Ústí nad Labem","8,1 °C","1,0 °C","61%","7,0 °C","11,1 °C","2,5 °C","0,2 °C","23/10/2021 11:00:00"
"Praha-Ruzyně","8,6 °C","-0,4 °C","53%","7,6 °C","10,9 °C","2,8 °C","1,1 °C","23/10/2021 11:00:00"
"Churáňov","2,0 °C","-0,1 °C","86%","1,2 °C","4,6 °C","-0,4 °C","-1,2 °C","23/10/2021 11:00:00"
"Šerák","-2,2 °C","-2,2 °C","100%","-1,2 °C","1,0 °C","-3,4 °C","-2,7 °C","23/10/2021 11:00:00"
"Karlovy Vary","5,6 °C","-0,5 °C","65%","5,0 °C","8,0 °C","1,5 °C","-0,4 °C","23/10/2021 11:00:00"
"Kocelovice","8,6 °C","-1,5 °C","49%","6,1 °C","9,6 °C","3,1 °C","2,1 °C","23/10/2021 11:00:00"
"Ústí nad Orlicí","8,4 °C","2,0 °C","64%","7,7 °C","10,9 °C","3,9 °C","1,6 °C","23/10/2021 11:00:00"
"Lysá hora","-1,2 °C","-1,9 °C","95%","0,8 °C","-0,5 °C","-1,8 °C","-2,2 °C","23/10/2021 11:00:00"
"Pec pod Sněžkou","2,8 °C","1,5 °C","91%","2,4 °C","4,5 °C","0,6 °C","-0,3 °C","23/10/2021 11:00:00"
"Tušimice","10,1 °C","0,7 °C","52%","7,5 °C","11,2 °C","4,0 °C","0,0 °C","23/10/2021 11:00:00"
"Praha-Libuš","8,9 °C","-2,1 °C","46%","8,4 °C","11,7 °C","3,4 °C","-1,5 °C","23/10/2021 11:00:00"
"Přibyslav","6,7 °C","-0,5 °C","60%","6,3 °C","9,9 °C","4,2 °C","3,2 °C","23/10/2021 11:00:00"
"Maruška","5,4 °C","-0,6 °C","65%","6,3 °C","9,2 °C","3,0 °C","2,1 °C","23/10/2021 11:00:00"
"Praha-Kbely","9,8 °C","-0,4 °C","49%","8,5 °C","11,3 °C","3,8 °C","-0,9 °C","23/10/2021 11:00:00"
"Čáslav","9,6 °C","0,2 °C","52%","8,7 °C","11,7 °C","2,5 °C","-3,9 °C","23/10/2021 11:00:00"
"Polom","3,3 °C","1,8 °C","90%","3,8 °C","7,7 °C","0,5 °C","1,4 °C","23/10/2021 11:00:00"
"Svratouch","4,6 °C","-0,5 °C","70%","5,1 °C","8,9 °C","2,3 °C","1,5 °C","23/10/2021 11:00:00"
"Milešovka","3,8 °C","1,2 °C","83%","3,6 °C","7,2 °C","0,6 °C","0,3 °C","23/10/2021 11:00:00"
"Jičín","8,9 °C","3,0 °C","66%","8,1 °C","11,1 °C","3,6 °C","1,7 °C","23/10/2021 11:00:00"
"Kuchařovice","9,3 °C","-1,7 °C","46%","8,8 °C","14,1 °C","5,5 °C","3,4 °C","23/10/2021 11:00:00"
"Liberec","7,6 °C","2,4 °C","69%","6,2 °C","9,7 °C","3,0 °C","0,9 °C","23/10/2021 11:00:00"
"Cheb","3,2 °C","0,3 °C","81%","6,2 °C","9,1 °C","2,5 °C","-1,0 °C","23/10/2021 19:00:00"
"Dukovany","4,7 °C","-2,2 °C","61%","7,8 °C","13,9 °C","3,8 °C","1,8 °C","23/10/2021 19:00:00"
"Kocelovice","5,4 °C","0,2 °C","69%","6,1 °C","9,6 °C","3,1 °C","2,1 °C","23/10/2021 19:00:00"
"Kopisty","7,0 °C","3,1 °C","76%","8,8 °C","13,9 °C","4,4 °C","1,1 °C","23/10/2021 19:00:00"
"Červená u Libavé","0,9 °C","-1,0 °C","87%","4,7 °C","9,1 °C","0,7 °C","-0,6 °C","23/10/2021 19:00:00"
"Luká","4,4 °C","1,2 °C","79%","7,4 °C","11,4 °C","3,5 °C","2,2 °C","23/10/2021 19:00:00"
"Jičín","6,7 °C","3,0 °C","77%","8,1 °C","11,1 °C","3,6 °C","1,7 °C","23/10/2021 19:00:00"
"Košetice","3,1 °C","-1,7 °C","71%","6,4 °C","10,1 °C","2,6 °C","-0,4 °C","23/10/2021 19:00:00"
"Praha-Kbely","8,0 °C","0,8 °C","60%","8,5 °C","11,3 °C","3,8 °C","-0,9 °C","23/10/2021 19:00:00"
"Liberec","2,6 °C","1,2 °C","90%","6,2 °C","9,7 °C","3,0 °C","0,9 °C","23/10/2021 19:00:00"
"Svratouch","3,5 °C","-0,6 °C","74%","5,1 °C","8,9 °C","2,3 °C","1,5 °C","23/10/2021 19:00:00"
"České Budějovice","3,7 °C","-0,7 °C","73%","8,1 °C","12,6 °C","5,7 °C","1,9 °C","23/10/2021 19:00:00"
"Karlovy Vary","3,3 °C","0,5 °C","82%","5,0 °C","8,0 °C","1,5 °C","-0,4 °C","23/10/2021 19:00:00"
"Ústí nad Orlicí","4,2 °C","2,1 °C","86%","7,7 °C","10,9 °C","3,9 °C","1,6 °C","23/10/2021 19:00:00"
"Přimda","3,2 °C","-2,1 °C","69%","4,1 °C","7,0 °C","0,8 °C","-1,4 °C","23/10/2021 19:00:00"
"Praha-Ruzyně","6,6 °C","0,0 °C","63%","7,6 °C","10,9 °C","2,8 °C","1,1 °C","23/10/2021 19:00:00"
"Lysá hora","-1,7 °C","-2,0 °C","97%","0,8 °C","-0,5 °C","-1,8 °C","-2,2 °C","23/10/2021 19:00:00"
"Praha-Libuš","7,5 °C","0,0 °C","59%","8,4 °C","11,7 °C","3,4 °C","-1,5 °C","23/10/2021 19:00:00"
"Praha-Karlov","8,7 °C","0,7 °C","57%"," "," "," "," ","23/10/2021 19:00:00"
"Plzeň-Mikulka","6,0 °C","-0,5 °C","63%","7,2 °C","11,4 °C","2,8 °C","-1,1 °C","23/10/2021 19:00:00"
"Milešovka","3,0 °C","1,7 °C","91%","3,6 °C","7,2 °C","0,6 °C","0,3 °C","23/10/2021 19:00:00"
"Brno-Tuřany","7,2 °C","3,3 °C","76%","7,1 °C","12,7 °C","3,0 °C","0,9 °C","26/10/2021 19:00:00"
"Polom","5,7 °C","3,2 °C","84%","5,0 °C","9,1 °C","2,9 °C","0,2 °C","26/10/2021 19:00:00"
"Ústí nad Orlicí","7,8 °C","4,9 °C","82%","6,0 °C","11,9 °C","-0,5 °C","-2,4 °C","26/10/2021 19:00:00"
"Praha-Libuš","8,5 °C","5,3 °C","80%","4,2 °C","10,5 °C","-3,0 °C","-2,7 °C","26/10/2021 19:00:00"
"Praha-Karlov","10,3 °C","6,1 °C","75%"," "," "," "," ","26/10/2021 19:00:00"
"Milešovka","6,5 °C","5,3 °C","92%","3,0 °C","6,6 °C","-1,4 °C","1,1 °C","26/10/2021 19:00:00"
"Luká","6,5 °C","2,9 °C","78%","5,5 °C","10,7 °C","1,1 °C","-2,4 °C","26/10/2021 19:00:00"
"Lysá hora","3,2 °C","0,8 °C","84%","1,8 °C","5,3 °C","-1,2 °C","-0,9 °C","26/10/2021 19:00:00"
"Košetice","6,7 °C","4,0 °C","83%","6,0 °C","11,1 °C","-0,6 °C","-4,6 °C","26/10/2021 19:00:00"
"Svratouch","7,4 °C","4,7 °C","83%","5,1 °C","9,5 °C","1,2 °C","0,0 °C","26/10/2021 19:00:00"
"Kopisty","8,3 °C","6,6 °C","89%","2,1 °C","9,5 °C","-3,2 °C","-5,4 °C","26/10/2021 19:00:00"
"Tušimice","10,0 °C","6,4 °C","78%","2,5 °C","8,8 °C","-3,1 °C","-3,9 °C","26/10/2021 19:00:00"
"Doksany","8,2 °C","4,2 °C","76%","2,3 °C","10,7 °C","-4,9 °C","-6,4 °C","26/10/2021 19:00:00"
"Pec pod Sněžkou","6,0 °C","3,8 °C","86%","1,9 °C","7,7 °C","-3,0 °C","-3,0 °C","26/10/2021 19:00:00"
"České Budějovice","9,5 °C","5,3 °C","75%","3,8 °C","11,7 °C","-2,8 °C","-2,7 °C","26/10/2021 19:00:00"
"Kostelní Myslová","7,8 °C","4,6 °C","80%","5,2 °C","11,6 °C","-0,1 °C","-3,2 °C","26/10/2021 19:00:00"
"Cheb","7,5 °C","6,4 °C","93%","4,4 °C","11,0 °C","-2,0 °C","-3,3 °C","26/10/2021 19:00:00"
"Ostrava-Mošnov","7,2 °C","2,9 °C","74%","7,2 °C","14,0 °C","2,2 °C","-2,4 °C","26/10/2021 19:00:00"
"Karlovy Vary","6,4 °C","5,1 °C","92%","2,9 °C","9,0 °C","-3,2 °C","-3,8 °C","26/10/2021 19:00:00"
"Maruška","5,6 °C","2,0 °C","78%","6,1 °C","9,3 °C","3,5 °C","3,8 °C","26/10/2021 19:00:00"
"Přibyslav","9,1 °C","5,4 °C","78%","5,6 °C","11,0 °C","0,3 °C","-1,0 °C","26/10/2021 19:00:00"
"Praha-Ruzyně","8,9 °C","5,4 °C","78%","4,7 °C","9,3 °C","-2,3 °C","-0,9 °C","26/10/2021 19:00:00"
"Přimda","6,2 °C","5,9 °C","98%","4,5 °C","8,0 °C","0,4 °C","0,5 °C","26/10/2021 19:00:00"
"Šerák","1,9 °C","1,9 °C","100%","1,6 °C","6,0 °C","-0,8 °C","-0,5 °C","26/10/2021 19:00:00"
"Liberec","7,4 °C","3,6 °C","76%","7,0 °C","10,5 °C","3,7 °C","1,3 °C","26/10/2021 19:00:00"
